foundation_name,program_name,fiscal_year,description,target_org_types,target_issues,target_regions,amount_min_jpy,amount_max_jpy,amount_note,deadline,deadline_month_recurring,application_method,requires_registration,requires_legal_entity,min_operation_years,total_applicants_recent,total_adopted_recent,adoption_rate_pct,grant_url,pdf_url,status,data_completeness,data_source
大分県,大分県宇佐市：「令和8年度地域活力支援事業」,2026,,,地域コミュニティ|まちづくり|文化・芸術,,,500000,,2026-02-18,2,,,,,,,,https://hojyokin-portal.jp/subsidies/70780,,active,partial,補助金ポータル
大分県,大分県杵築市：「令和8年度地域活力支援事業」,2026,,,地域コミュニティ|まちづくり|文化・芸術,,,500000,,2026-02-18,2,,,,,,,,https://hojyokin-portal.jp/subsidies/70779,,active,partial,補助金ポータル
福岡県,福岡県福岡市：「令和8年度福岡市NPO活動推進補助金事業」,2026,,,地域コミュニティ|まちづくり|国際協力,,,500000,,2026-04-01,4,,,,,,,,https://hojyokin-portal.jp/subsidies/70766,,unknown,partial,補助金ポータル
山形県,山形県：「令和8年度やまがた社会貢献基金協働助成事業（テーマ希望...,2026,,,環境・気候変動|地域コミュニティ|まちづくり,,,1000000,,2026-02-25,2,,,,,,,,https://hojyokin-portal.jp/subsidies/70763,,unknown,partial,補助金ポータル
山形県,山形県：「令和8年度やまがた社会貢献基金協働助成事業（一般型）」,2026,,,地域コミュニティ|まちづくり,,,1000000,,2026-02-25,2,,,,,,,,https://hojyokin-portal.jp/subsidies/70762,,unknown,partial,補助金ポータル
山口県,山口県美祢市：「美祢市中小事業者等省エネ機器・低燃費タイヤ導入支...,2026,,,環境・気候変動,,,1000000,,2026-03-06,3,,,,,,,,https://hojyokin-portal.jp/subsidies/70751,,unknown,partial,補助金ポータル
広島県,広島県福山市：「グリーンな企業賃上げ環境整備支援事業補助金」,2026,,,環境・気候変動,,,800000,,2026-03-02,3,,,,,,,,https://hojyokin-portal.jp/subsidies/70739,,active,partial,補助金ポータル
島根県,島根県大田市：「大田市中小企業者等物価高騰対策省エネ支援補助金」,2026,,,その他,,,1800000,,2026-04-01,4,,,,,,,,https://hojyokin-portal.jp/subsidies/70736,,active,partial,補助金ポータル
愛知県,愛知県：「ロボット未活用領域導入検証補助金」（令和8年度）,2026,,,その他,,,5000000,,2026-03-25,3,,,,,,,,https://hojyokin-portal.jp/subsidies/70673,,active,partial,補助金ポータル
宮崎県,宮崎県日向市：「令和8年度日向市市民まちづくり支援事業」,2026,,,地域コミュニティ|まちづくり|文化・芸術,,,500000,,2026-03-02,3,,,,,,,,https://hojyokin-portal.jp/subsidies/70640,,unknown,partial,補助金ポータル
山口県,山口県：「きらめき活動助成事業（きらめき活動助成事業・繋がるネッ...,2026,,,地域コミュニティ|まちづくり,,,500000,,2026-03-31,3,,,,,,,,https://hojyokin-portal.jp/subsidies/70636,,active,partial,補助金ポータル
青森県,青森県弘前市：「ひろさき人材定着推進事業費補助金」≪追加募集≫（...,2026,,,就労・雇用,,,500000,,2025-06-09,6,,,,,,,,https://hojyokin-portal.jp/subsidies/70624,,unknown,partial,補助金ポータル
富山県,富山県：「富山県なりわい再建支援補助金」≪第13次≫（令和7年度...,2026,,,地域コミュニティ|まちづくり,,2026,2026,,2026-03-05,3,,,,,,,,https://hojyokin-portal.jp/subsidies/70619,,active,partial,補助金ポータル
熊本県,熊本県御船町：「くまもと未来づくりスタートアップ補助金」（令和8...,2026,,,地域コミュニティ|まちづくり,,,10000000,,2026-03-13,3,,,,,,,,https://hojyokin-portal.jp/subsidies/70617,,unknown,partial,補助金ポータル
全国,「令和8年度上下水道科学研究費補助金」,2026,,,科学技術,,,6000000,,2026-02-13,2,,,,,,,,https://hojyokin-portal.jp/subsidies/70606,,unknown,partial,補助金ポータル
京都府,京都府京都市：「京都市若年被害女性等支援事業」（令和8年度）,2026,,,女性・ジェンダー|地域コミュニティ|まちづくり,,,3500000,,2026-02-26,2,,,,,,,,https://hojyokin-portal.jp/subsidies/70588,,unknown,partial,補助金ポータル
埼玉県,埼玉県川越市：「川越市提案型協働事業補助金（新規事業）」（令和8...,2026,,,環境・気候変動|地域コミュニティ|まちづくり,,,200000,,2026-04-01,4,,,,,,,,https://hojyokin-portal.jp/subsidies/70582,,unknown,partial,補助金ポータル
埼玉県,埼玉県川越市：「川越市提案型協働事業補助金（継続事業）」（令和8...,2026,,,環境・気候変動|地域コミュニティ|まちづくり,,,200000,,2026-03-06,3,,,,,,,,https://hojyokin-portal.jp/subsidies/70581,,unknown,partial,補助金ポータル
福島県,福島県田村市：「田村市買物弱者・商店活性化対策事業補助金」（令和...,2026,,,地域コミュニティ|まちづくり|食・フードバンク,,,190000,,2025-04-01,4,,,,,,,,https://hojyokin-portal.jp/subsidies/70556,,unknown,partial,補助金ポータル
大阪府,大阪府：「中央競馬馬主社会福祉財団助成金（施設整備等助成事業）」...,2026,,,地域コミュニティ|まちづくり,,2026,2026,,2026-03-02,3,,,,,,,,https://hojyokin-portal.jp/subsidies/70539,,active,partial,補助金ポータル
佐賀県,佐賀県：「医療・福祉・保育施設等物価高騰対応支援金（保育所、幼稚...,2026,,,医療・保健,,,20000,,2026-02-24,2,,,,,,,,https://hojyokin-portal.jp/subsidies/70514,,active,partial,補助金ポータル
熊本県,熊本県益城町：「くまもと未来づくりスタートアップ補助金」,2026,,,地域コミュニティ|まちづくり,,,10000000,,2026-03-18,3,,,,,,,,https://hojyokin-portal.jp/subsidies/70476,,unknown,partial,補助金ポータル
熊本県,熊本県芦北町：「くまもと未来づくりスタートアップ補助金」,2026,,,地域コミュニティ|まちづくり,,,10000000,,2026-03-17,3,,,,,,,,https://hojyokin-portal.jp/subsidies/70464,,unknown,partial,補助金ポータル
熊本県,熊本県菊池市：「くまもと未来づくりスタートアップ補助金」,2026,,,地域コミュニティ|まちづくり,,,10000000,,2026-03-17,3,,,,,,,,https://hojyokin-portal.jp/subsidies/70463,,unknown,partial,補助金ポータル
愛知県,愛知県：「革新事業創造事業費補助金」（令和8年度）,2026,,,地域コミュニティ|まちづくり,,,10000000,,2026-04-06,4,,,,,,,,https://hojyokin-portal.jp/subsidies/70462,,unknown,partial,補助金ポータル
全国,「子どもまんぷく基金」≪第5回≫,2026,,,子ども・青少年|貧困・生活困窮|環境・気候変動|地域コミュニティ|まちづくり|食・フードバンク,,,3000000,,2026-02-19,2,,,,,,,,https://hojyokin-portal.jp/subsidies/70450,,unknown,partial,補助金ポータル
全国,「中小企業省力化投資補助金（カタログ注文型）」,2026,,,その他,,,10000000,,2026-03-19,3,,,,,,,,https://hojyokin-portal.jp/subsidies/70426,,active,partial,補助金ポータル
神奈川,神奈川県横浜市南区：「南区地域の力応援補助金」（令和8年度）,2026,,,地域コミュニティ|まちづくり,,,150000,,2026-04-01,4,,,,,,,,https://hojyokin-portal.jp/subsidies/70384,,unknown,partial,補助金ポータル
東京都,東京都杉並区：「杉並区NPO活動資金助成事業」（令和8年度）,2026,,,地域コミュニティ|まちづくり,,,300000,,2026-02-10,2,,,,,,,,https://hojyokin-portal.jp/subsidies/70374,,unknown,partial,補助金ポータル
長崎県,長崎県西海市：「飼料価格高騰緊急対策事業補助金」,2026,,,その他,,,2000000,,2026-03-12,3,,,,,,,,https://hojyokin-portal.jp/subsidies/70366,,unknown,partial,補助金ポータル
岐阜県,岐阜県恵那市：「令和7年度恵那市商工振興補助金（情報サービス産業...,2026,,,就労・雇用,,,500000,,2025-04-01,4,,,,,,,,https://hojyokin-portal.jp/subsidies/70354,,unknown,partial,補助金ポータル
全国,「都市鉱山回収量増加に向けた回収実証モデル事業」,2026,,,環境・気候変動|まちづくり,,2026,2026,,2026-02-09,2,,,,,,,,https://hojyokin-portal.jp/subsidies/70350,,unknown,partial,補助金ポータル
北海道,北海道陸別町：「陸別町地元雇用促進事業助成金」（令和7年度）,2026,,,地域コミュニティ|まちづくり|就労・雇用,,,720000,,2026-03-31,3,,,,,,,,https://hojyokin-portal.jp/subsidies/70346,,active,partial,補助金ポータル
埼玉県,埼玉県美里町：「町内農産品販売促進事業」（令和7年度）,2026,,,その他,,,500000,,2025-04-01,4,,,,,,,,https://hojyokin-portal.jp/subsidies/70310,,unknown,partial,補助金ポータル
東京都,東京都調布市：「令和8年度調布市日中活動系障害福祉サービス等事業...,2026,,,障害者支援,,,2500000,,2026-03-06,3,,,,,,,,https://hojyokin-portal.jp/subsidies/70306,,unknown,partial,補助金ポータル
福岡県,福岡県大野城市：「省エネ診断受診支援補助金」（令和7年度）,2026,,,その他,,2026,2026,,2026-03-31,3,,,,,,,,https://hojyokin-portal.jp/subsidies/70243,,active,partial,補助金ポータル
東京都,東京都：「東京芸術文化創造発信助成金（カテゴリーⅢ［単年助成］創...,2026,,,地域コミュニティ|まちづくり|文化・芸術,,,1000000,,2026-02-03,2,,,,,,,,https://hojyokin-portal.jp/subsidies/70235,,unknown,partial,補助金ポータル
東京都,東京都：「芸術文化による社会支援助成金」≪第1期≫,2026,,,地域コミュニティ|まちづくり|文化・芸術,,,2000000,,2026-02-03,2,,,,,,,,https://hojyokin-portal.jp/subsidies/70233,,unknown,partial,補助金ポータル
岩手県,岩手県陸前高田市：「まちづくり団体活動補助金」（令和8年度）,2026,,,地域コミュニティ|まちづくり,,,500000,,2026-02-02,2,,,,,,,,https://hojyokin-portal.jp/subsidies/70215,,unknown,partial,補助金ポータル
福島県,福島県：「ふくしま産業応援ファンド事業」（令和8年度）,2026,,,科学技術,,,5000000,,2026-02-06,2,,,,,,,,https://hojyokin-portal.jp/subsidies/70204,,unknown,partial,補助金ポータル
滋賀県,滋賀県長浜市：「文化芸術活動助成金」（令和8年度）,2026,,,地域コミュニティ|まちづくり|文化・芸術,,,200000,,2026-02-28,2,,,,,,,,https://hojyokin-portal.jp/subsidies/70186,,unknown,partial,補助金ポータル
東京都,東京都：「創業助成事業」≪第1回≫（令和8年度）,2026,,,その他,,,4000000,,2026-04-07,4,,,,,,,,https://hojyokin-portal.jp/subsidies/70177,,unknown,partial,補助金ポータル
東京都,東京都：「創業助成事業」≪第2回≫（令和8年度）,2026,,,その他,,,4000000,,2026-09-29,9,,,,,,,,https://hojyokin-portal.jp/subsidies/70176,,upcoming,partial,補助金ポータル
神奈川,神奈川県：「神奈川県フリースペース等相談事業費補助金」（令和8年...,2026,,,子ども・青少年|地域コミュニティ|まちづくり,,,750000,,2026-02-10,2,,,,,,,,https://hojyokin-portal.jp/subsidies/70151,,unknown,partial,補助金ポータル
全国,「中小企業省力化投資補助金（カタログ注文型）」,2026,,,その他,,,10000000,,2025-04-01,4,,,,,,,,https://hojyokin-portal.jp/subsidies/70139,,unknown,partial,補助金ポータル
東京都,東京都：「地域特産品開発支援事業（開発補助）」（令和8年度）,2026,,,地域コミュニティ|まちづくり|食・フードバンク|科学技術,,,1500000,,2026-04-01,4,,,,,,,,https://hojyokin-portal.jp/subsidies/70137,,active,partial,補助金ポータル
全国,「令和8年度食品産業省力化投資促進事業（飲食業労働生産性向上推進...,2026,,,食・フードバンク,,,20000000,,2026-02-16,2,,,,,,,,https://hojyokin-portal.jp/subsidies/70129,,unknown,partial,補助金ポータル
全国,「起業促進補助金」≪5次締切≫,2026,,,その他,,,3000000,,2026-04-17,4,,,,,,,,https://hojyokin-portal.jp/subsidies/70115,,unknown,partial,補助金ポータル
山梨県,山梨県：「中央競馬馬主社会福祉財団助成金（施設整備等助成事業）」...,2026,,,地域コミュニティ|まちづくり,,2026,2026,,2026-05-15,5,,,,,,,,https://hojyokin-portal.jp/subsidies/70102,,unknown,partial,補助金ポータル
宮城県,宮城県：「中央競馬馬主社会福祉財団助成金（施設整備等助成事業）」...,2026,,,地域コミュニティ|まちづくり,,2026,2026,,2026-02-24,2,,,,,,,,https://hojyokin-portal.jp/subsidies/70100,,unknown,partial,補助金ポータル
山形県,山形県：「山形県循環型産業施設整備事業費補助金」（令和8年度）,2026,,,環境・気候変動,,,10000000,,2026-02-13,2,,,,,,,,https://hojyokin-portal.jp/subsidies/70098,,active,partial,補助金ポータル
栃木県,栃木県日光市：「日光市農商工観連携・ビジネス創出促進事業」（令和...,2026,,,地域コミュニティ,,,200000,,2025-04-01,4,,,,,,,,https://hojyokin-portal.jp/subsidies/70060,,unknown,partial,補助金ポータル
